Year,PropertyType,ZipCode,TotalYearlyEnergyUsage
2015,Social/Meeting Hall,02163,1212246.1
2015,Social/Meeting Hall,02215,
2015,Stadium (Open),02134,9677720.7
2015,Stadium (Open),02215,73682269.4
2015,Strip Mall,02110,511397.5
2015,Strip Mall,02446,1647735.2
2015,Supermarket/Grocery Store,02119,
2015,Supermarket/Grocery Store,02120,9386359.9
2015,Supermarket/Grocery Store,02121,12249392.5
2015,Supermarket/Grocery Store,02122,28248404.7
2015,Supermarket/Grocery Store,02124,16118734.5
2015,Supermarket/Grocery Store,02127,5929914.9
2015,Supermarket/Grocery Store,02131,9622656.0
2015,Supermarket/Grocery Store,02132,15580719.0
2015,Supermarket/Grocery Store,02134,18856842.8
2015,Supermarket/Grocery Store,02135,12573977.8
2015,Supermarket/Grocery Store,02136,8789217.8
2015,Supermarket/Grocery Store,02199,16668014.6
2015,Supermarket/Grocery Store,02215,19488360.1
2015,Urgent Care/Clinic/Other Outpatient,02118,
2015,Urgent Care/Clinic/Other Outpatient,02119,
2015,Urgent Care/Clinic/Other Outpatient,02125,
2015,Urgent Care/Clinic/Other Outpatient,02127,
2015,Urgent Care/Clinic/Other Outpatient,02128,5922970.2
2015,Urgent Care/Clinic/Other Outpatient,02215,5097692.1
2015,Vocational School,02122,
2015,Wholesale Club/Supercenter,02118,12066111.0
2015,Worship Facility,02116,1780577.6
2015,Worship Facility,02118,874174.5
2015,Worship Facility,02163,865274.7
2015,Worship Facility,02215,3554081.5
2016,Adult Education,02136,3416948.5
2016,Ambulatory Surgical Center,02115,15660106.3
2016,Automobile Dealership,02135,668204063.8
2016,Barracks,02108,
2016,College/University,02108,10282909.3
2016,College/University,02111,113845337.3
2016,College/University,02114,23592909.5
2016,College/University,02115,1397433058.0000002
2016,College/University,02116,29196476.4
2016,College/University,02131,8093227.7
2016,College/University,02134,4593253.0
2016,College/University,02163,23043820.299999997
2016,College/University,02215,279596131.30000007
2016,College/University,02446,5026857.9
2016,College/University,02467,280947908.8
2016,Courthouse,02109,75537346.4
2016,Distribution Center,02109,
2016,Distribution Center,02118,6867434.7
2016,Distribution Center,02119,3581495.2
2016,Distribution Center,02126,2570490.4
2016,Distribution Center,02127,1159701.4
2016,Distribution Center,02129,2594149.2
2016,Distribution Center,02134,1059917.9
2016,Distribution Center,02135,
2016,Distribution Center,02136,286534.9
2016,Distribution Center,02210,55055712.3
2016,Distribution Center,02215,10119448.4
2016,Energy/Power Station,02110,
2016,Energy/Power Station,02111,5787366.0
2016,Energy/Power Station,02116,
2016,Energy/Power Station,02127,486700.9
2016,Energy/Power Station,02215,26819999.3
2016,Financial Office,02110,
2016,Financial Office,02111,129332337.4
2016,Financial Office,02116,71006892.6
2016,Financial Office,02125,53167151.3
2016,Financial Office,02210,214316146.1
2016,Fire Station,02109,2247740.1
2016,Fire Station,02110,4019443.6
2016,Fire Station,02111,1213231.6
2016,Fire Station,02115,6727578.8
2016,Fire Station,02116,1233584.2
2016,Fire Station,02118,19214685.5
2016,Fire Station,02119,4155192.5
2016,Fire Station,02121,1440722.0
2016,Fire Station,02122,3077006.0
2016,Fire Station,02124,3330636.9999999995
2016,Fire Station,02125,1010300.0
2016,Fire Station,02127,2942334.4000000004
2016,Fire Station,02128,4618388.8000000007
2016,Fire Station,02129,3817444.1999999997
2016,Fire Station,02131,1681772.6
2016,Fire Station,02132,2182925.9
2016,Fire Station,02134,1796078.2
2016,Fire Station,02135,5699470.1
2016,Fire Station,02136,1432923.4
2016,Fire Station,02169,822655.20000000007
2016,Fire Station,02171,54598.8
2016,Fire Station,02210,93502.4
2016,Fitness Center/Health Club/Gym,02114,6448698.5
2016,Fitness Center/Health Club/Gym,02115,20471447.0
2016,Fitness Center/Health Club/Gym,02128,3554759.6
2016,Fitness Center/Health Club/Gym,02129,1918983.9
2016,Fitness Center/Health Club/Gym,02134,3018183.6
2016,Fitness Center/Health Club/Gym,02135,3497872.9
2016,Fitness Center/Health Club/Gym,02215,37068652.0
